iter	MultiClass
0	1.733479406
1	1.578718325
2	1.454071391
3	1.343672126
4	1.25811233
5	1.18660971
6	1.116626457
7	1.049758643
8	0.995311148
9	0.9436430103
10	0.9000079178
11	0.8589979659
12	0.8209251375
13	0.7813835913
14	0.7443511265
15	0.7152276491
16	0.6875934591
17	0.6559833104
18	0.6268430439
19	0.6009532294
20	0.5791459855
21	0.5549727599
22	0.5338452705
23	0.515514585
24	0.4983728909
25	0.4848782175
26	0.4706328783
27	0.4555346032
28	0.4398425963
29	0.4281757784
30	0.4154255976
31	0.4039119689
32	0.3930566982
33	0.382829545
34	0.3708033286
35	0.3589512028
36	0.3482432802
37	0.3370490805
38	0.3274209787
39	0.3199344387
40	0.3111723888
41	0.3024428157
42	0.2936016144
43	0.2868778399
44	0.2781737097
45	0.2707752637
46	0.2636316445
47	0.259157334
48	0.252878249
49	0.2469022092
50	0.2403008191
51	0.2344543626
52	0.2277515061
53	0.2228110955
54	0.2179500673
55	0.2128244148
56	0.2083561002
57	0.2036118957
58	0.1994318583
59	0.1964058474
60	0.1917451209
61	0.1874112463
62	0.1840493617
63	0.1805316684
64	0.1774958465
65	0.1742796838
66	0.1707817251
67	0.1681867843
68	0.1656703678
69	0.1631651399
70	0.1609229764
71	0.1583296794
72	0.1551071002
73	0.1529100926
74	0.1499566141
75	0.1487319936
76	0.1460381024
77	0.1435827569
78	0.1418166158
79	0.1394272323
80	0.1375899267
81	0.1358740776
82	0.133350291
83	0.1312056229
84	0.1287068734
85	0.1260776471
86	0.1245149156
87	0.1224121322
88	0.1213275438
89	0.1189072922
90	0.1170556033
91	0.1158025902
92	0.1143752571
93	0.1133270747
94	0.1121956286
95	0.1109227732
96	0.1094721656
97	0.1083225783
98	0.1068508735
99	0.1049880756
