iter	Passed	Remaining
0	44	22101
1	83	20867
2	122	20225
3	159	19809
4	200	19806
5	242	19982
6	278	19595
7	317	19518
8	360	19644
9	396	19449
10	430	19143
11	463	18868
12	500	18742
13	537	18668
14	574	18563
15	609	18435
16	644	18315
17	681	18248
18	723	18316
19	762	18306
20	799	18243
21	840	18264
22	882	18295
23	921	18268
24	958	18215
25	999	18220
26	1038	18195
27	1078	18173
28	1116	18140
29	1156	18119
30	1192	18034
31	1226	17933
32	1260	17830
33	1294	17742
34	1331	17686
35	1366	17609
36	1405	17581
37	1443	17544
38	1508	17830
39	1596	18355
40	1666	18661
41	1717	18725
42	1766	18777
43	1812	18788
44	1859	18803
45	1906	18812
46	1947	18775
47	1987	18713
48	2028	18672
49	2064	18584
50	2102	18510
51	2138	18424
52	2175	18351
53	2215	18298
54	2257	18266
55	2300	18239
56	2341	18196
57	2384	18173
58	2431	18173
59	2471	18124
60	2508	18052
61	2543	17971
62	2579	17894
63	2620	17848
64	2663	17827
65	2704	17786
66	2755	17809
67	2791	17734
68	2829	17676
69	2870	17633
70	2909	17578
71	2925	17388
72	2960	17317
73	2999	17269
74	3042	17241
75	3079	17178
76	3102	17042
77	3142	17001
78	3187	16984
79	3237	16995
80	3277	16954
81	3318	16915
82	3357	16866
83	3393	16807
84	3428	16738
85	3463	16673
86	3503	16632
87	3544	16592
88	3580	16533
89	3593	16372
90	3629	16312
91	3666	16260
92	3703	16207
93	3736	16137
94	3769	16070
95	3806	16020
96	3841	15959
97	3878	15910
98	3915	15861
99	3951	15807
100	3991	15768
101	4033	15740
102	4075	15709
103	4113	15663
104	4152	15622
105	4190	15576
106	4228	15530
107	4267	15490
108	4303	15439
109	4336	15376
110	4371	15318
111	4406	15263
112	4440	15207
113	4473	15145
114	4512	15108
115	4548	15058
116	4581	14999
117	4617	14948
118	4661	14925
119	4699	14883
120	4744	14862
121	4780	14810
122	4812	14750
123	4847	14700
124	4882	14648
125	4918	14598
126	4952	14544
127	4988	14497
128	5021	14441
129	5054	14386
130	5093	14347
131	5128	14297
132	5161	14243
133	5195	14190
134	5227	14134
135	5264	14089
136	5299	14042
137	5336	13997
138	5377	13966
139	5414	13922
140	5451	13879
141	5494	13851
142	5534	13816
143	5569	13768
144	5604	13721
145	5647	13694
146	5698	13684
147	5746	13668
148	5785	13630
149	5820	13581
150	5852	13527
151	5884	13473
152	5916	13418
153	5955	13380
154	5995	13345
155	6027	13291
156	6061	13243
157	6093	13189
158	6106	13096
159	6142	13052
160	6187	13028
161	6229	12997
162	6263	12950
163	6303	12913
164	6336	12865
165	6374	12825
166	6404	12771
167	6434	12715
168	6467	12668
169	6504	12625
170	6535	12573
171	6567	12523
172	6606	12487
173	6647	12454
174	6688	12421
175	6724	12379
176	6757	12331
177	6790	12283
178	6827	12243
179	6870	12214
180	6904	12168
181	6935	12118
182	6970	12074
183	7003	12027
184	7035	11980
185	7072	11939
186	7105	11892
187	7139	11847
188	7174	11806
189	7216	11773
190	7255	11738
191	7291	11696
192	7341	11677
193	7390	11656
194	7445	11645
195	7504	11639
196	7553	11618
197	7590	11576
198	7622	11529
199	7654	11481
200	7690	11440
201	7733	11408
202	7770	11368
203	7809	11331
204	7845	11289
205	7886	11256
206	7923	11215
207	7965	11182
208	8008	11149
209	8047	11113
210	8088	11078
211	8129	11044
212	8170	11008
213	8210	10972
214	8250	10937
215	8294	10905
216	8342	10879
217	8383	10844
218	8423	10808
219	8463	10772
220	8507	10740
221	8547	10703
222	8585	10664
223	8622	10624
224	8658	10582
225	8691	10538
226	8730	10499
227	8766	10458
228	8807	10422
229	8846	10385
230	8881	10342
231	8916	10300
232	8950	10256
233	8988	10217
234	9025	10178
235	9065	10140
236	9104	10103
237	9143	10065
238	9178	10023
239	9214	9982
240	9254	9945
241	9294	9908
242	9334	9872
243	9374	9835
244	9410	9795
245	9448	9755
246	9487	9718
247	9524	9678
248	9562	9639
249	9604	9604
250	9651	9574
251	9692	9538
252	9727	9497
253	9777	9469
254	9885	9498
255	10001	9533
256	10058	9511
257	10100	9473
258	10140	9436
259	10179	9396
260	10217	9356
261	10261	9321
262	10302	9283
263	10341	9244
264	10382	9207
265	10422	9168
266	10460	9128
267	10505	9093
268	10554	9063
269	10625	9051
270	10693	9035
271	10736	8999
272	10780	8964
273	10818	8923
274	10857	8883
275	10894	8841
276	10928	8798
277	10969	8760
278	11013	8724
279	11055	8686
280	11095	8647
281	11136	8609
282	11179	8572
283	11217	8531
284	11257	8492
285	11296	8452
286	11334	8411
287	11375	8373
288	11412	8332
289	11449	8290
290	11484	8248
291	11521	8207
292	11560	8167
293	11596	8125
294	11632	8083
295	11665	8039
296	11700	7997
297	11736	7955
298	11773	7914
299	11807	7871
300	11842	7829
301	11878	7788
302	11920	7750
303	11962	7712
304	12000	7672
305	12038	7632
306	12074	7590
307	12112	7550
308	12168	7521
309	12218	7488
310	12264	7453
311	12308	7416
312	12343	7374
313	12378	7332
314	12415	7291
315	12455	7252
316	12493	7212
317	12531	7172
318	12570	7132
319	12608	7092
320	12644	7050
321	12684	7011
322	12720	6970
323	12756	6929
324	12791	6887
325	12824	6845
326	12859	6803
327	12896	6762
328	12930	6720
329	12966	6679
330	13001	6638
331	13035	6596
332	13071	6555
333	13106	6514
334	13145	6474
335	13178	6432
336	13214	6391
337	13236	6344
338	13258	6297
339	13300	6259
340	13336	6218
341	13377	6180
342	13414	6140
343	13451	6100
344	13491	6061
345	13526	6020
346	13566	5981
347	13603	5941
348	13640	5901
349	13676	5861
350	13712	5821
351	13748	5780
352	13769	5733
353	13804	5693
354	13840	5653
355	13873	5611
356	13908	5571
357	13941	5529
358	13980	5491
359	14015	5450
360	14052	5410
361	14089	5371
362	14131	5333
363	14167	5293
364	14206	5254
365	14242	5214
366	14278	5174
367	14313	5134
368	14353	5095
369	14394	5057
370	14430	5017
371	14464	4976
372	14502	4937
373	14537	4897
374	14570	4856
375	14607	4817
376	14646	4778
377	14688	4740
378	14728	4702
379	14767	4663
380	14809	4625
381	14849	4587
382	14888	4548
383	14923	4508
384	14958	4468
385	14993	4428
386	15032	4389
387	15068	4349
388	15105	4310
389	15141	4270
390	15180	4232
391	15218	4192
392	15239	4149
393	15274	4109
394	15308	4069
395	15344	4029
396	15377	3989
397	15413	3950
398	15454	3911
399	15489	3872
400	15525	3832
401	15559	3793
402	15596	3754
403	15631	3714
404	15669	3675
405	15703	3635
406	15738	3596
407	15772	3556
408	15808	3517
409	15846	3478
410	15884	3439
411	15924	3401
412	15964	3362
413	16007	3325
414	16045	3286
415	16080	3247
416	16122	3209
417	16158	3169
418	16195	3130
419	16235	3092
420	16274	3053
421	16311	3014
422	16346	2975
423	16378	2935
424	16412	2896
425	16448	2857
426	16482	2817
427	16517	2778
428	16551	2739
429	16586	2700
430	16623	2661
431	16656	2621
432	16690	2582
433	16724	2543
434	16759	2504
435	16790	2464
436	16826	2425
437	16863	2387
438	16896	2347
439	16931	2308
440	16963	2269
441	16997	2230
442	17035	2191
443	17069	2152
444	17102	2113
445	17137	2074
446	17170	2035
447	17207	1997
448	17245	1958
449	17280	1920
450	17320	1881
451	17359	1843
452	17399	1805
453	17434	1766
454	17471	1727
455	17510	1689
456	17552	1651
457	17588	1612
458	17626	1574
459	17662	1535
460	17697	1497
461	17733	1458
462	17769	1420
463	17810	1381
464	17851	1343
465	17891	1305
466	17928	1266
467	17961	1228
468	17999	1189
469	18036	1151
470	18079	1113
471	18119	1074
472	18157	1036
473	18191	997
474	18224	959
475	18261	920
476	18299	882
477	18336	843
478	18372	805
479	18407	766
480	18444	728
481	18482	690
482	18521	651
483	18562	613
484	18602	575
485	18640	536
486	18685	498
487	18722	460
488	18761	422
489	18799	383
490	18845	345
491	18887	307
492	18928	268
493	18968	230
494	19005	191
495	19044	153
496	19095	115
497	19134	76
498	19172	38
499	19209	0
