iter	MultiClass
0	1.493690304
1	1.236513309
2	1.064321334
3	0.9344623448
4	0.8261642473
5	0.7388360597
6	0.6679288665
7	0.605787898
8	0.5508439332
9	0.5045415631
10	0.4639076207
11	0.4282797611
12	0.3962318927
13	0.3686432407
14	0.3420539232
15	0.3212234939
16	0.2987126725
17	0.2800759176
18	0.2630588677
19	0.2473690218
20	0.234711829
21	0.223701779
22	0.2119931446
23	0.2006897664
24	0.1914994285
25	0.1811202375
26	0.1718147946
27	0.1652626098
28	0.1598991896
29	0.1526894185
30	0.1488374892
31	0.1440564726
32	0.1380823697
33	0.1325528609
34	0.1279815575
35	0.1226821033
