iter	Passed	Remaining
0	242	121218
1	328	81692
2	412	68358
3	499	61927
4	593	58707
5	702	57819
6	855	60234
7	979	60253
8	1080	58938
9	1158	56782
10	1242	55236
11	1318	53630
12	1390	52098
13	1475	51225
14	1571	50815
15	1657	50126
16	1746	49622
17	1829	48995
18	1924	48719
19	2017	48429
20	2109	48110
21	2198	47759
22	2273	47159
23	2354	46700
24	2446	46474
25	2527	46073
26	2613	45781
27	2690	45350
28	2765	44916
29	2842	44526
30	2912	44065
31	2984	43646
32	3059	43301
33	3142	43077
34	3226	42864
35	3308	42637
