Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
3320,5755,7953,200,554,6,3695,6799,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.1609060155905,6799.0,0.0,6799.0,6799.0,0.0,0.0,0.0,0.0,0.0,6799.0,6799.0,0.0,6799.0,6799.0,0,0,0,0,0,44,0.0,294.1609060155905,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,6799.0,0.0,6799.0,6799.0,0
12446,25883,10000,203,10101,17,3491,212,3,1,4290.0,1430.0,1430.0,1430.0,1430.0,0.0,1430.0,1430.0,1430.0,0.0,26981132.0754717,18867.924528301886,70.66666666666667,0.5773502691896257,71.0,70.0,141.0,70.5,0.7071067811865476,71.0,70.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,14150.943396226416,4716.981132075472,1430.0,1430.0,1430.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1787.5,1430.0,1430.0,0,0,0,0,0,0,3,4290,1,1430,-1,-1,3,0,0.0,0.0,0.0,0.0,70.66666666666667,0.5773502691896257,71.0,70.0,2
12731,25883,9020,204,44144,6,3614,60431,5,7,5680.0,1097.0,1388.0,1041.0,1136.0,144.4610674195646,1097.0,0.0,156.71428571428572,414.6270268911223,112144.42918369712,198.5735797852096,5493.727272727273,12649.922451073831,43394.0,121.0,56804.0,14201.000000000002,21738.29375395717,46693.0,898.0,60431.0,10071.833333333332,18541.28181563148,47389.0,371.0,0,1,0,0,160,224,82.73899157717067,115.83458820803892,0.0,1388.0,605.6923076923076,589.742370957492,347796.0641025641,0,0,0,1,1,0,0,0,1.0,656.1666666666666,1136.0,156.71428571428572,0,0,0,0,0,0,5,5680,7,1097,-1,32678,5,0,443.0,326.401593133367,898.0,121.0,9708.333333333334,16525.22015183661,43394.0,1394.0,0
46346,25886,56260,69,7100,6,1251,143,0,2,0.0,2848.0,0.0,0.0,0.0,0.0,1424.0,1424.0,1424.0,0.0,19916083.91608392,13986.013986013986,143.0,0.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,143.0,143.0,0.0,143.0,143.0,0,0,0,0,0,40,0.0,13986.013986013986,1424.0,1424.0,1424.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,2136.0,0.0,1424.0,0,0,0,0,0,0,0,0,2,2848,-1,31,0,0,0.0,0.0,0.0,0.0,143.0,0.0,143.0,143.0,2
22794,34651,6302,200,554,6,3672,13406,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.18693122482472,13406.0,0.0,13406.0,13406.0,0.0,0.0,0.0,0.0,0.0,13406.0,13406.0,0.0,13406.0,13406.0,0,0,0,0,0,44,0.0,149.18693122482472,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,13406.0,0.0,13406.0,13406.0,0
12721,25886,56255,200,9020,6,1163,86,0,2,0.0,1418.0,0.0,0.0,0.0,0.0,1388.0,30.0,709.0,960.2510088513316,16488372.093023255,23255.81395348837,86.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,86.0,86.0,0,0,0,0,0,64,0.0,23255.81395348837,30.0,1388.0,935.3333333333331,784.0416655595117,614721.3333333335,0,0,0,0,1,0,0,0,0.0,1403.0,0.0,709.0,0,0,0,0,0,0,0,0,2,1418,-1,1869,0,0,0.0,0.0,0.0,0.0,86.0,0.0,86.0,86.0,2
12685,25886,49796,200,9020,6,2896,393,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5089.058524173028,393.0,0.0,393.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,2544.529262086514,2544.529262086514,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32626,0,0,0.0,0.0,0.0,0.0,393.0,0.0,393.0,393.0,3
12691,25886,52727,200,9020,6,2049,84,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23809.52380952381,84.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,11904.761904761905,11904.761904761905,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32422,0,0,0.0,0.0,0.0,0.0,84.0,0.0,84.0,84.0,4
13566,25883,60023,233,8899,17,3238,36,6,1,192.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,6222222.222222223,194444.4444444445,6.0,2.097617696340304,10.0,4.0,31.0,6.2,2.280350850198276,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,8,166666.66666666663,27777.777777777777,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.57142857142857,32.0,32.0,0,0,0,0,0,0,6,192,1,32,-1,-1,6,0,0.0,0.0,0.0,0.0,6.0,2.097617696340304,10.0,4.0,2
13697,25883,60147,233,8899,17,3261,8,2,1,64.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,0.0,12000000.0,375000.0,4.0,1.4142135623730951,5.0,3.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,250000.0,125000.0,32.0,32.0,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,42.66666666666666,32.0,32.0,0,0,0,0,0,0,2,64,1,32,-1,-1,2,0,0.0,0.0,0.0,0.0,4.0,1.4142135623730951,5.0,3.0,2
