iter	MultiClass
0	1.732046403
1	1.576797567
2	1.45204099
3	1.341761267
4	1.251790604
5	1.180712417
6	1.112800014
7	1.046234065
8	0.9925845176
9	0.9427554822
10	0.8969988215
11	0.8555490515
12	0.8191129256
13	0.779495226
14	0.7424633582
15	0.7131277537
16	0.6854240135
17	0.6592203436
18	0.6371846179
19	0.609536727
20	0.5819011581
21	0.5574208989
22	0.5405596943
23	0.5224513005
24	0.5022993941
25	0.4875364124
26	0.4700356273
27	0.4552653524
28	0.4388988404
29	0.4225700913
30	0.4079515019
31	0.3956430876
32	0.3846294954
33	0.3746961261
34	0.3638571949
35	0.3544055969
36	0.3431004592
37	0.3336053192
38	0.3233438877
39	0.3159937285
40	0.3088351175
41	0.2999047929
42	0.2903788934
43	0.2832954258
44	0.2746986874
45	0.2670174282
46	0.2627683717
47	0.2579831873
48	0.2532357739
49	0.2485927292
50	0.2426477218
51	0.2371185315
52	0.2307161526
53	0.2257537259
54	0.2206819209
55	0.2158441802
56	0.2111036201
57	0.2062093125
58	0.2016635346
59	0.1971107126
60	0.1923841315
61	0.1880583744
62	0.1846129869
63	0.1809828921
64	0.1780349103
65	0.176316416
66	0.1725306175
67	0.1700917
68	0.1675210436
69	0.1643545347
70	0.1621902187
71	0.1594239741
72	0.155841948
73	0.1528203764
74	0.1499703541
75	0.1486352301
76	0.1459944916
77	0.1430759715
78	0.1405434006
79	0.1386536992
80	0.1362789504
81	0.1351213527
82	0.1330853446
83	0.131221187
84	0.1299700165
85	0.1274737682
86	0.1256223689
87	0.1233903057
88	0.1219193482
89	0.1200979788
90	0.1183970611
91	0.1172200606
92	0.1154050729
93	0.1143368847
94	0.1134724178
95	0.112229097
96	0.1112318767
97	0.1097611851
98	0.1088653008
99	0.1081050938
