iter	Passed	Remaining
0	216	21407
1	244	11988
2	273	8836
3	310	7440
4	355	6763
5	387	6075
6	415	5513
7	443	5100
8	471	4766
9	499	4497
10	527	4270
11	555	4071
12	583	3903
13	611	3755
14	639	3622
15	665	3495
16	693	3385
17	720	3281
18	749	3193
19	777	3109
20	807	3039
21	838	2971
22	869	2909
23	898	2845
24	927	2783
25	959	2730
26	986	2668
27	1014	2609
28	1041	2549
29	1068	2494
30	1095	2438
31	1122	2385
32	1148	2332
33	1176	2284
34	1204	2237
35	1229	2185
36	1257	2141
37	1284	2096
38	1315	2057
39	1342	2014
40	1370	1972
41	1396	1928
42	1424	1888
43	1450	1845
44	1477	1805
45	1504	1766
46	1532	1728
47	1558	1688
48	1587	1652
49	1615	1615
50	1643	1578
51	1669	1540
52	1697	1505
53	1724	1469
54	1751	1432
55	1777	1396
56	1805	1362
57	1834	1328
58	1861	1293
59	1886	1257
60	1919	1227
61	1950	1195
62	1977	1161
63	2007	1129
64	2034	1095
65	2061	1061
66	2088	1028
67	2115	995
68	2141	962
69	2169	929
70	2194	896
71	2223	864
72	2251	832
73	2279	800
74	2304	768
75	2330	736
76	2357	704
77	2385	672
78	2411	641
79	2437	609
80	2464	578
81	2490	546
82	2517	515
83	2543	484
84	2568	453
85	2596	422
86	2624	392
87	2651	361
88	2678	331
89	2706	300
90	2733	270
91	2761	240
92	2787	209
93	2815	179
94	2842	149
95	2869	119
96	2895	89
97	2923	59
98	2950	29
99	2974	0
